index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
29,32.0 to 32.375,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Cmaj3rd5th,EG-C,mediumvioletred,8
30,33.0 to 33.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Cmaj-root,C-EG,slateblue,2
31,34.125 to 34.75,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
32,35.0 to 35.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
33,36.0 to 36.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
34,37.0 to 37.75,9,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
35,38.0 to 38.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
36,39.0 to 39.0,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
37,40.0 to 40.875,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Cmaj-root,C-EG,slateblue,2
38,41.0 to 41.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
39,42.0 to 42.0,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
40,43.0 to 43.0,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj-root,G-BD,red,9
41,44.0 to 44.875,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
42,45.0 to 45.0,16,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",e-Minor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
43,46.0 to 46.75,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Cmaj-root,C-EG,slateblue,2
44,47.0 to 47.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
45,48.0 to 48.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
46,49.0 to 49.875,9,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",fMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
47,50.0 to 50.75,13,"[2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",fMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
48,51.0 to 51.0,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
49,52.0 to 52.875,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,CmajTriad,CEG,blueviolet,5
50,53.0 to 53.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
51,54.0 to 54.0,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
52,55.0 to 55.0,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,2/4ofCmaj,DF,green,4
53,56.0 to 56.0,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
54,57.0 to 57.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Cmaj-root,C-EG,slateblue,2
55,58.0 to 58.0,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
56,60.0 to 60.375,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",cMinor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
57,61.0 to 61.5,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
58,63.0 to 63.375,14,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1]",eMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
59,64.0 to 64.5,14,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
60,66.0 to 66.875,19,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,4ofC,F-AC,cyan,1
