index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 0.875,8,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",9,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
1,1.0 to 1.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
2,2.0 to 2.875,17,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
3,3.125 to 3.666666667,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
4,4.125 to 4.875,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
5,5.0 to 5.875,18,"[2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",9,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
6,6.25 to 6.875,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
7,7.25 to 7.75,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]",6,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
8,8.125 to 8.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
9,9.0 to 9.958333332999999,9,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]",6,e-Minor,Piano Sonata K545 i C major.mid by Mozart.csv
10,10.0 to 10.875,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
11,11.0 to 11.91666667,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
12,12.125 to 12.625,10,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
13,13.0 to 13.875,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
14,14.0 to 14.875,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",7,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
15,15.0 to 15.91666667,10,"[1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
16,16.125 to 16.75,16,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",7,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
17,17.0 to 17.875,15,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",2,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
18,18.33333333 to 18.875,18,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",9,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
19,19.125 to 19.83333333,10,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
20,20.0 to 20.75,12,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1]",9,cMinor,Piano Sonata K545 i C major.mid by Mozart.csv
21,21.0 to 21.75,2,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
22,22.0 to 22.75,12,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",9,cMinor,Piano Sonata K545 i C major.mid by Mozart.csv
23,23.0 to 23.875,18,"[1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
24,24.0 to 24.75,13,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",2,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
25,25.25 to 25.75,13,"[2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",2,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
26,26.0 to 26.875,14,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
27,27.125 to 27.875,12,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1]",2,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
28,28.25 to 28.875,2,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",1,fMinor,Piano Sonata K545 i C major.mid by Mozart.csv
29,29.0 to 29.875,19,"[0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1]",4,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
30,30.0 to 30.875,9,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1]",4,fMinor,Piano Sonata K545 i C major.mid by Mozart.csv
31,31.0 to 31.91666667,19,"[0, 0, 0, 0, 1, 2, 0, 1, 0, 2, 0, 1]",4,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
32,32.125 to 32.875,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",2,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
33,33.0 to 33.91666667,10,"[0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0]",6,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
34,34.0 to 34.875,7,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0]",6,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
35,35.125 to 35.66666667,6,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2]",3,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
36,36.0 to 36.875,17,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
37,37.125 to 37.875,6,"[0, 0, 2, 0, 1, 0, 0, 3, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
38,38.0 to 38.79166667,17,"[2, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
39,39.625 to 39.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
40,40.625 to 40.75,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
41,42.875 to 42.875,16,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,c#Major,Piano Sonata K545 i C major.mid by Mozart.csv
42,43.125 to 43.75,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,c#Major,Piano Sonata K545 i C major.mid by Mozart.csv
43,44.0 to 44.875,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
44,45.125 to 45.75,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
45,46.0 to 46.875,18,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
46,47.0 to 47.875,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
47,48.0 to 48.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
48,49.0 to 49.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
49,50.0 to 50.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
50,51.0 to 51.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
51,52.0 to 52.75,18,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,dMinor,Piano Sonata K545 i C major.mid by Mozart.csv
52,53.0 to 53.875,5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1]",8,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
53,54.0 to 54.79166667,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
54,55.0 to 55.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
55,56.0 to 56.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
56,57.0 to 57.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
57,58.125 to 58.75,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
58,59.0 to 59.875,18,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,dMinor,Piano Sonata K545 i C major.mid by Mozart.csv
59,60.125 to 60.875,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
60,61.125 to 61.75,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
61,62.0 to 62.75,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
62,63.0 to 63.625,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
63,64.125 to 64.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K545 i C major.mid by Mozart.csv
64,65.0 to 65.875,9,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,fMajor,Piano Sonata K545 i C major.mid by Mozart.csv
65,66.125 to 66.75,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
66,67.0 to 67.91666667,0,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1]",8,dMinor,Piano Sonata K545 i C major.mid by Mozart.csv
67,68.0 to 68.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
68,69.125 to 69.875,3,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1]",3,gMinor,Piano Sonata K545 i C major.mid by Mozart.csv
69,70.125 to 70.875,12,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K545 i C major.mid by Mozart.csv
70,71.0 to 71.75,12,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K545 i C major.mid by Mozart.csv
71,72.0 to 72.79166667,9,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
72,73.0 to 73.75,7,"[0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K545 i C major.mid by Mozart.csv
73,74.0 to 74.875,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",8,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
74,75.0 to 75.875,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 i C major.mid by Mozart.csv
75,76.125 to 76.75,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K545 i C major.mid by Mozart.csv
