index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
32,33.0 to 33.875,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
33,34.25 to 34.70833333,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
34,35.0 to 35.875,10,"[1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
35,36.25 to 36.91666667,2,"[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
36,37.0 to 37.91666667,17,"[2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
37,38.125 to 38.875,15,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1]",7,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
38,39.125 to 39.875,13,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
39,40.75 to 40.75,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
40,41.0 to 41.875,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0]",1,fMinor,Piano Sonata K330 i C major.mid by Mozart.csv
41,42.0 to 42.875,4,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
42,43.25 to 43.66666667,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
43,44.0 to 44.875,13,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
44,45.0 to 45.91666667,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",1,fMinor,Piano Sonata K330 i C major.mid by Mozart.csv
