index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
0,3.0 to 3.875,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2,0
1,4.0 to 4.75,10,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Cmaj2-5tet,DEFG,violet,6,0
2,5.0 to 5.75,3,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9,0
3,6.0 to 6.75,5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17,0
4,7.0 to 7.75,19,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]",fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,4ofC,F-AC,cyan,1,0
5,8.0 to 8.75,9,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1]",fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,6-1ofC,A-CF,deepskyblue,7,0
6,9.0 to 9.75,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2,0
7,10.0 to 10.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Cmaj3rd5th,EG-C,mediumvioletred,8,0
8,11.0 to 11.875,9,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0]",c#Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,6-1ofC,A-CF,deepskyblue,7,0
9,12.0 to 12.75,10,"[0, 0, 2, 0, 1, 3, 0, 1, 0, 0, 0, 0]",b-Major,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1783,Cmaj2-5tet,DEFG,violet,6,0
