index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
477,482.0 to 482.6666667,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15,5
478,483.0 to 483.6666667,2,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
479,484.0 to 484.6666667,16,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
480,485.0 to 485.6666667,16,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
481,486.0 to 486.6666667,2,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
482,487.0 to 487.6666667,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",dMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15,5
483,488.0 to 488.75,19,"[0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0]",fMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,5
484,489.0 to 489.0,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
485,490.0 to 490.0,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,5
486,492.0 to 492.0,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,5
487,493.0 to 493.0,14,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19,5
