index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
28,32.0 to 32.75,11,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0]",3,b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
29,33.0 to 33.875,11,"[0, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
30,34.0 to 34.875,11,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
31,35.0 to 35.5,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
32,36.0 to 36.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
33,37.0 to 37.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
34,38.0 to 38.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
35,39.0 to 39.875,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
36,40.0 to 40.75,6,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
37,41.0 to 41.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
38,42.0 to 42.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
39,43.0 to 43.875,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
40,44.0 to 44.75,6,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
41,45.0 to 45.875,7,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
42,46.0 to 46.875,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
43,47.0 to 47.875,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
44,48.0 to 48.875,8,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",7,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
45,49.0 to 49.875,12,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
46,50.0 to 50.875,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
47,51.0 to 51.875,7,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
48,52.0 to 52.75,13,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2]",4,gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
49,53.0 to 53.875,18,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",8,dMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
50,54.0 to 54.875,3,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
51,55.0 to 55.875,5,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
52,56.0 to 56.875,13,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",8,eMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
