index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
73,76.0 to 76.5,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
74,77.0 to 77.5,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
75,78.0 to 78.5,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
76,79.0 to 79.5,17,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
77,80.0 to 80.75,12,"[0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
78,81.0 to 81.75,12,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
79,82.0 to 82.75,12,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
80,83.0 to 83.75,19,"[0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
81,84.0 to 84.75,2,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
82,85.0 to 85.875,7,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
83,86.0 to 86.75,5,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
84,87.0 to 87.75,17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",4,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
85,88.0 to 88.75,12,"[0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
86,89.0 to 89.75,12,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
87,90.0 to 90.0,12,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
88,92.0 to 92.0,1,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
89,93.5 to 93.75,10,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",4,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
90,94.0 to 94.5,4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
91,95.0 to 95.5,17,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
92,96.0 to 96.5,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
93,97.0 to 97.0,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
94,98.5 to 98.5,0,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
95,99.0 to 99.5,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
96,100.0 to 100.5,17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
97,101.0 to 101.5,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
98,102.0 to 102.5,17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
99,103.0 to 103.5,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
100,104.0 to 104.0,12,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
101,105.0 to 105.875,4,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,dMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
102,106.0 to 106.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
103,107.0 to 107.5,12,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
104,108.0 to 108.5,9,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
105,109.0 to 109.75,8,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
106,110.0 to 110.5,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",3,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
107,111.0 to 111.5,4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
108,112.0 to 112.5,4,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",5,eMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
109,113.0 to 113.75,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
110,114.0 to 114.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
111,115.0 to 115.5,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
112,116.0 to 116.5,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
113,117.0 to 117.5,7,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
114,118.0 to 118.5,5,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
115,119.0 to 119.5,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,gMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
116,120.0 to 120.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",7,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
117,121.0 to 121.75,12,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,c#Major,Piano Sonata K333 i Bb major.mid by Mozart.csv
118,122.0 to 122.75,12,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
119,123.0 to 123.75,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",3,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
120,124.0 to 124.0,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
121,125.0 to 125.75,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
122,126.0 to 126.5,4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
123,127.0 to 127.5,17,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
124,128.0 to 128.5,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
125,129.0 to 129.0,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
126,130.5 to 130.5,0,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
127,131.0 to 131.5,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
128,132.0 to 132.5,17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
129,133.0 to 133.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
130,134.0 to 134.5,17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
131,135.0 to 135.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
132,136.0 to 136.0,9,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
133,137.0 to 137.5,7,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,aMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
134,138.0 to 138.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
135,139.0 to 139.5,12,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
136,140.0 to 140.5,8,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
137,141.0 to 141.75,8,"[0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0]",9,eMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
138,142.0 to 142.75,0,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",6,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
139,143.0 to 143.75,5,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
140,144.0 to 144.75,16,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
141,145.0 to 145.75,12,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
142,146.0 to 146.75,15,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",5,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
143,147.0 to 147.75,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
144,148.0 to 148.75,16,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
145,149.0 to 149.75,0,"[2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
146,150.0 to 150.0,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
147,151.0 to 151.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",7,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
148,152.0 to 152.75,10,"[0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
149,153.0 to 153.75,12,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",9,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
150,154.0 to 154.75,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
151,155.0 to 155.75,17,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",4,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
152,156.0 to 156.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
153,157.0 to 157.75,12,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
154,158.0 to 158.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
155,159.0 to 159.75,12,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
156,160.0 to 160.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",7,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
157,161.0 to 161.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
158,162.0 to 162.75,12,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
