index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
34,37.0 to 37.75,1,"[0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1]",9,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
35,38.0 to 38.75,5,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",3,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
36,39.0 to 39.875,6,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0]",6,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
37,40.0 to 40.875,6,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",6,fMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
38,41.0 to 41.625,4,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
39,42.0 to 42.875,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
40,43.0 to 43.75,14,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",6,f#Major,Piano Sonata K576 ii A major.mid by Mozart.csv
41,44.0 to 44.75,6,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]",6,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
42,45.0 to 45.875,18,"[0, 0, 1, 0, 1, 2, 0, 1, 1, 1, 0, 1]",3,fMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
43,46.0 to 46.5,13,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
44,47.0 to 47.75,1,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1]",3,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
45,48.0 to 48.0,6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
46,49.0 to 49.5,0,"[2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
47,50.0 to 50.5,11,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5,g#Major,Piano Sonata K576 ii A major.mid by Mozart.csv
48,51.0 to 51.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
49,52.0 to 52.875,2,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
50,53.0 to 53.75,2,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
51,54.0 to 54.875,3,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
52,55.0 to 55.875,3,"[0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
53,56.0 to 56.75,4,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
54,57.0 to 57.875,15,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",8,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
55,58.0 to 58.75,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
56,59.0 to 59.75,2,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
57,60.0 to 60.75,8,"[0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
58,61.0 to 61.75,8,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
59,62.0 to 62.75,4,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
60,63.0 to 63.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
61,64.0 to 64.875,2,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
62,65.0 to 65.75,2,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
63,66.0 to 66.875,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",6,gMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
64,67.0 to 67.875,14,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0]",6,b-Minor,Piano Sonata K576 ii A major.mid by Mozart.csv
65,68.0 to 68.75,14,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0]",6,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
66,69.0 to 69.75,2,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
67,70.0 to 70.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",3,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
68,71.0 to 71.75,0,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",0,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
69,72.0 to 72.875,18,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 2, 1, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
70,73.0 to 73.875,18,"[2, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
71,74.0 to 74.875,13,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
72,75.0 to 75.875,18,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 2, 1, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
73,76.0 to 76.875,18,"[2, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
74,77.0 to 77.875,13,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
75,78.0 to 78.875,18,"[1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0]",6,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
76,79.0 to 79.875,17,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",6,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
77,80.0 to 80.875,5,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",9,e-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
78,81.0 to 81.875,16,"[0, 1, 1, 0, 1, 0, 2, 1, 0, 1, 0, 1]",9,dMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
