index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
35,38.0 to 38.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
36,39.0 to 39.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
37,40.0 to 40.75,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
38,41.0 to 41.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
39,42.0 to 42.75,16,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]",1,bMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
40,43.0 to 43.75,15,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
41,44.0 to 44.75,15,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
42,45.0 to 45.0,4,"[0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 2]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
43,46.0 to 46.875,15,"[2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",4,cMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
44,47.0 to 47.875,15,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 2]",0,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
45,48.0 to 48.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
46,49.0 to 49.75,1,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1, 2]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
47,50.0 to 50.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
48,51.0 to 51.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
49,52.0 to 52.75,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
50,53.0 to 53.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
51,54.0 to 54.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
52,55.0 to 55.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
53,56.0 to 56.75,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
54,57.0 to 57.5,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
55,58.0 to 58.75,16,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]",1,bMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
56,59.0 to 59.75,15,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
57,60.0 to 60.75,15,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
58,61.0 to 61.0,4,"[0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 2]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
59,62.0 to 62.875,15,"[2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",4,cMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
60,63.0 to 63.875,15,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 0, 2]",0,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
61,64.0 to 64.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
62,65.0 to 65.875,1,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 2]",1,gMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
63,66.0 to 66.875,2,"[2, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1]",4,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
64,67.0 to 67.75,19,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
65,68.0 to 68.875,10,"[0, 0, 0, 1, 1, 2, 0, 2, 0, 0, 0, 1]",1,gMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
66,69.0 to 69.875,13,"[2, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1]",0,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
67,70.0 to 70.875,13,"[2, 0, 1, 0, 3, 0, 1, 1, 0, 2, 0, 1]",0,cMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
68,71.0 to 71.75,19,"[0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
69,72.0 to 72.875,19,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 3]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
70,73.0 to 73.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
71,74.0 to 74.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
72,75.0 to 75.875,1,"[0, 0, 1, 0, 0, 1, 1, 3, 0, 1, 0, 0]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
73,76.0 to 76.75,15,"[2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
74,77.0 to 77.875,1,"[0, 0, 1, 0, 0, 1, 1, 3, 0, 1, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
75,78.0 to 78.875,15,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
76,79.0 to 79.75,1,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
77,80.0 to 80.75,6,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
78,81.0 to 81.0,10,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
79,82.0 to 82.875,16,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
80,83.0 to 83.75,15,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
81,84.0 to 84.75,8,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
82,85.0 to 85.75,1,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
83,86.0 to 86.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
84,87.0 to 87.75,18,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]",3,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
85,88.0 to 88.75,2,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1]",2,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
86,89.0 to 89.75,15,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
87,90.0 to 90.875,10,"[1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
88,91.0 to 91.875,17,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0]",2,c#Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
89,92.0 to 92.875,18,"[0, 0, 2, 0, 1, 3, 0, 1, 0, 1, 0, 0]",3,fMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
90,93.0 to 93.875,1,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",1,gMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
91,94.0 to 94.875,13,"[2, 0, 1, 0, 3, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
92,95.0 to 95.75,19,"[0, 0, 2, 0, 0, 1, 1, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
93,96.0 to 96.75,13,"[2, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
94,97.0 to 97.875,8,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
95,98.0 to 98.875,19,"[0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
96,99.0 to 99.75,15,"[2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",7,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
97,100.0 to 100.75,11,"[1, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0]",4,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
98,101.0 to 101.75,10,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0]",1,b-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
99,102.0 to 102.75,12,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0]",9,b-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
100,103.0 to 103.875,9,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
101,104.0 to 104.875,3,"[2, 1, 1, 1, 0, 2, 0, 1, 3, 1, 2, 2]",6,g#Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
102,105.0 to 105.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",6,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
103,106.0 to 106.875,10,"[1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",1,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
104,107.0 to 107.875,2,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
105,108.0 to 108.875,7,"[2, 0, 2, 1, 0, 0, 1, 1, 0, 2, 1, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
106,109.0 to 109.75,16,"[0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 1, 0]",1,e-Major,Piano Sonata K332 ii Bb major.mid by Mozart.csv
107,110.0 to 110.875,11,"[1, 0, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0]",4,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
108,111.0 to 111.75,12,"[1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0]",4,b-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
109,112.0 to 112.75,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
110,113.0 to 113.875,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
111,114.0 to 114.75,6,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
112,115.0 to 115.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
113,116.0 to 116.75,19,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
114,117.0 to 117.75,13,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
115,118.0 to 118.75,6,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
116,119.0 to 119.75,1,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
117,120.0 to 120.875,19,"[1, 0, 2, 0, 1, 1, 0, 2, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
118,121.0 to 121.5,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
119,122.0 to 122.75,15,"[2, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 2]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
120,123.0 to 123.75,15,"[2, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 2]",0,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
121,124.0 to 124.75,6,"[0, 2, 2, 0, 2, 2, 0, 2, 0, 2, 0, 0]",3,aMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
122,125.0 to 125.0,17,"[0, 2, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0]",2,aMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
123,126.0 to 126.875,18,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1]",3,fMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
124,127.0 to 127.875,18,"[1, 1, 1, 0, 2, 2, 0, 1, 0, 2, 0, 0]",3,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
125,128.0 to 128.875,15,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
126,129.0 to 129.75,15,"[2, 0, 1, 1, 2, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
127,130.0 to 130.75,6,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
128,131.0 to 131.75,1,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
129,132.0 to 132.75,19,"[1, 0, 2, 0, 1, 1, 0, 2, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
130,133.0 to 133.75,13,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
131,134.0 to 134.75,6,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
132,135.0 to 135.75,1,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
133,136.0 to 136.875,19,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
134,137.0 to 137.75,0,"[2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
135,138.0 to 138.875,15,"[2, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 2]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
136,139.0 to 139.875,15,"[2, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 2]",0,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
