index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,4.0 to 4.0,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
1,6.0 to 6.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
2,7.0 to 7.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
3,8.0 to 8.5,16,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
4,9.0 to 9.5,6,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
5,10.0 to 10.0,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
6,11.33333333 to 11.33333333,12,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
7,12.0 to 12.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
8,13.0 to 13.5,6,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
9,14.0 to 14.5,6,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",7,c#Major,Piano Sonata K284 ii A major.mid by Mozart.csv
10,15.0 to 15.625,15,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",8,eMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
11,16.0 to 16.0,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
