index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
55,56.0 to 56.875,4,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1,dMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
56,57.0 to 57.5,4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",3,eMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
57,58.0 to 58.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",3,cMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
58,59.0 to 59.5,15,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2]",4,fMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
59,60.0 to 60.83333333,6,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",1,c#Major,Piano Sonata K576 iii D major.mid by Mozart.csv
60,61.0 to 61.625,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
61,62.0 to 62.5,12,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
62,63.0 to 63.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
63,64.0 to 64.83333333,17,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]",3,gMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
64,65.0 to 65.625,10,"[0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0]",3,e-Minor,Piano Sonata K576 iii D major.mid by Mozart.csv
65,66.0 to 66.875,12,"[0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
66,67.0 to 67.5,12,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
67,68.0 to 68.875,12,"[0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0]",1,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
68,69.0 to 69.625,8,"[0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
69,70.0 to 70.875,7,"[1, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
70,71.0 to 71.625,7,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
71,72.0 to 72.875,19,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
72,73.0 to 73.625,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
73,74.0 to 74.875,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 2]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
74,75.0 to 75.625,7,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
75,76.0 to 76.875,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
76,77.0 to 77.75,12,"[0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
77,78.0 to 78.875,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
78,79.0 to 79.875,7,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
79,80.0 to 80.91666667,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
80,81.0 to 81.875,7,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
81,82.0 to 82.875,1,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1]",0,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
82,83.0 to 83.875,16,"[0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 0]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
83,84.0 to 84.875,12,"[2, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
84,85.0 to 85.875,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 2]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
85,86.0 to 86.875,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
86,87.0 to 87.91666667,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
