index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
36,36.0 to 36.875,15,"[2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 2]",5,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
37,37.0 to 37.875,2,"[2, 1, 0, 0, 2, 0, 1, 0, 0, 2, 0, 1]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
38,38.0 to 38.75,17,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 0, 0]",3,dMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
39,39.0 to 39.5,12,"[0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,dMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
40,40.0 to 40.625,1,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
41,41.0 to 41.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
42,42.0 to 42.5,7,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
43,43.125 to 43.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,dMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
44,44.125 to 44.875,10,"[1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
45,45.0 to 45.875,19,"[1, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
46,46.0 to 46.79166667,16,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
47,47.125 to 47.91666667,10,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
48,48.125 to 48.79166667,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
49,49.25 to 49.75,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
50,50.0 to 50.79166667,15,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
51,51.25 to 51.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
52,52.0 to 52.75,6,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",6,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
53,53.33333333 to 53.33333333,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",4,c#Major,Piano Sonata K545 iii C major.mid by Mozart.csv
54,54.0 to 54.66666667,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
55,55.75 to 55.75,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4,c#Major,Piano Sonata K545 iii C major.mid by Mozart.csv
56,57.375 to 57.375,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
57,58.0 to 58.375,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
58,59.0 to 59.5,18,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
59,60.0 to 60.875,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
60,61.375 to 61.875,8,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
61,62.125 to 62.875,2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
62,63.0 to 63.875,6,"[0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0]",2,b-Major,Piano Sonata K545 iii C major.mid by Mozart.csv
63,64.0 to 64.875,19,"[1, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 1]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
64,65.125 to 65.625,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
65,66.125 to 66.75,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
66,67.125 to 67.625,18,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
67,68.125 to 68.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
68,69.0 to 69.66666667,8,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
69,70.0 to 70.91666667,18,"[0, 1, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
70,71.125 to 71.875,15,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
71,72.0 to 72.875,0,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
72,73.375 to 73.375,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
73,74.0 to 74.66666667,2,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
74,75.0 to 75.875,4,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
75,76.0 to 76.875,3,"[1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]",4,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
76,77.0 to 77.375,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
77,78.0 to 78.875,15,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
78,79.375 to 79.875,4,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2]",1,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
79,80.125 to 80.625,9,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
80,81.0 to 81.875,2,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
81,82.0 to 82.875,6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",4,b-Major,Piano Sonata K545 iii C major.mid by Mozart.csv
82,83.0 to 83.875,9,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
83,84.125 to 84.875,18,"[0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
84,85.0 to 85.875,8,"[0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0]",6,aMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
85,86.0 to 86.875,8,"[1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0]",6,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
86,87.125 to 87.5,2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
87,88.125 to 88.79166667,8,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
88,89.0 to 89.875,8,"[0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 2]",8,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
89,90.0 to 90.875,8,"[1, 0, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0]",8,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
90,91.0 to 91.875,8,"[2, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
91,92.0 to 92.75,8,"[1, 0, 0, 0, 3, 0, 0, 0, 1, 3, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
92,93.0 to 93.875,8,"[0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 3]",8,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
93,94.0 to 94.91666667,8,"[1, 0, 1, 0, 3, 0, 0, 0, 2, 0, 0, 1]",8,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
94,95.0 to 95.91666667,8,"[1, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
95,96.125 to 96.625,2,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
96,97.75 to 97.75,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
97,98.25 to 98.875,8,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
98,99.125 to 99.875,15,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
99,100.375 to 100.875,4,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",1,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
100,101.0 to 101.875,8,"[1, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1]",8,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
101,102.375 to 102.5,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
102,103.0 to 103.75,2,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
103,104.0 to 104.5,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
104,105.0 to 105.75,3,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]",4,bMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
105,106.125 to 106.9583333,4,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",1,eMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
106,107.125 to 107.9166667,15,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 2]",5,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
107,108.0 to 108.9166667,15,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
108,109.125 to 109.9166667,8,"[0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
109,110.0 to 110.9166667,8,"[1, 0, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0]",6,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
110,111.0416667 to 111.875,6,"[1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0]",2,b-Major,Piano Sonata K545 iii C major.mid by Mozart.csv
111,112.0 to 112.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",9,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
112,113.375 to 113.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
113,114.0 to 114.9166667,15,"[1, 0, 2, 0, 2, 0, 0, 0, 1, 2, 0, 2]",5,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
