index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
351,361.0 to 361.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
352,362.0 to 362.75,12,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
353,363.0 to 363.75,12,"[0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
354,364.0 to 364.875,12,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
355,365.0 to 365.0,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
356,366.0 to 366.0,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
357,367.0 to 367.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
358,368.0 to 368.875,0,"[2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
359,369.0 to 369.625,10,"[1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
360,370.0 to 370.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
361,371.0 to 371.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
362,372.0 to 372.5,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
363,373.0 to 373.5,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
364,374.0 to 374.5,15,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
365,375.0 to 375.625,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
366,376.0 to 376.5,16,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
367,377.0 to 377.75,12,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
368,378.0 to 378.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
369,379.0 to 379.625,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
370,380.0 to 380.5,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
371,381.0 to 381.875,1,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 2]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
372,382.0 to 382.75,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
373,383.0 to 383.625,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
374,384.0 to 384.5,16,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
375,385.0 to 385.625,12,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
376,386.0 to 386.5,10,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
377,387.0 to 387.5,1,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
378,388.0 to 388.5,10,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
379,389.0 to 389.625,10,"[0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
380,390.0 to 390.5,15,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
381,391.0 to 391.625,2,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
382,392.0 to 392.5,16,"[0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
383,393.0 to 393.75,12,"[1, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
384,394.0 to 394.5,19,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
385,395.0 to 395.625,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
386,396.0 to 396.5,10,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
387,397.0 to 397.625,10,"[0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
