index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
256,257.0 to 257.75,0,"[2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",6,g#Major,Piano Sonata K570 ii Eb major.mid by Mozart.csv
257,258.0 to 258.75,1,"[1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 1]",3,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
258,259.0 to 259.75,11,"[1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0]",3,e-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
259,260.0 to 260.75,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
260,261.0 to 261.75,11,"[1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0]",3,e-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
261,262.0 to 262.75,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
262,263.0 to 263.75,1,"[0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
263,264.0 to 264.75,5,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",2,eMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
264,265.0 to 265.75,6,"[0, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
265,266.0 to 266.875,6,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
266,267.0 to 267.0,5,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
267,268.0 to 268.25,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
268,269.0 to 269.75,13,"[3, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
269,270.0 to 270.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
270,271.0 to 271.75,15,"[2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
271,272.0 to 272.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
272,273.0 to 273.75,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",9,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
273,274.0 to 274.75,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
274,275.0 to 275.75,5,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
275,276.0 to 276.0,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
276,277.0 to 277.5,10,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
