index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
28,28.0 to 28.75,9,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
29,29.0 to 29.75,19,"[1, 0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
30,30.0 to 30.75,1,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
31,31.0 to 31.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
32,32.0 to 32.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
33,33.0 to 33.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
34,34.0 to 34.75,19,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
35,35.0 to 35.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
36,36.0 to 36.875,3,"[1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
37,37.0 to 37.875,10,"[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
38,38.0 to 38.0,2,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",9,c#Major,Piano Sonata K279 i C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
39,39.0 to 39.0,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
40,40.0 to 40.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
41,41.0 to 41.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
42,42.0 to 42.75,19,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",9,fMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
43,43.0 to 43.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
44,44.0 to 44.875,4,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
45,45.0 to 45.875,18,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
46,46.0 to 46.75,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",3,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
47,47.0 to 47.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
48,48.0 to 48.5,4,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
49,49.0 to 49.875,13,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
50,50.0 to 50.75,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",3,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
51,51.0 to 51.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
52,52.0 to 52.5,4,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
53,53.0 to 53.875,13,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
54,54.0 to 54.875,4,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1]",5,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
55,55.0 to 55.875,10,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
56,56.0 to 56.875,10,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
57,57.0 to 57.875,10,"[0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
58,58.0 to 58.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1]",5,gMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
59,59.0 to 59.875,19,"[1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0]",9,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
60,60.0 to 60.5,10,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
61,62.0 to 62.125,14,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
62,63.125 to 63.25,14,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
63,64.0 to 64.75,5,"[0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 3]",5,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
64,65.0 to 65.75,14,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2]",5,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
65,66.0 to 66.875,14,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",2,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
66,67.125 to 67.625,14,"[0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0]",5,eMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
