index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
28,28.0 to 28.66666667,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
29,29.0 to 29.66666667,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
30,30.0 to 30.66666667,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
31,31.0 to 31.66666667,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
32,32.0 to 32.66666667,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
33,33.0 to 33.66666667,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
34,34.0 to 34.66666667,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",9,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
35,35.0 to 35.66666667,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",9,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
36,36.0 to 36.66666667,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
37,37.0 to 37.66666667,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
