index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
28,32.0 to 32.75,13,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
29,33.0 to 33.75,13,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2]",7,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
30,34.0 to 34.75,1,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
31,35.0 to 35.75,10,"[0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
32,36.0 to 36.875,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
33,37.0 to 37.75,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
34,38.0 to 38.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",7,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
35,39.0 to 39.5,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
36,40.0 to 40.875,9,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0]",8,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7
37,41.0 to 41.66666667,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
38,42.0 to 42.83333333,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
39,43.0 to 43.5,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
40,44.0 to 44.75,8,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
41,45.0 to 45.5,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
42,46.0 to 46.625,2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
43,47.0 to 47.5,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
44,48.0 to 48.875,13,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
45,49.0 to 49.5,13,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
46,50.0 to 50.5,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
47,51.0 to 51.75,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
48,52.0 to 52.875,2,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",5,b-Major,Piano Sonata K284 i D major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
49,53.0 to 53.75,8,"[3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
50,54.0 to 54.75,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]",8,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7
51,55.0 to 55.75,2,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",5,b-Major,Piano Sonata K284 i D major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
52,56.0 to 56.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
53,57.0 to 57.75,8,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
54,58.0 to 58.75,11,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
55,59.0 to 59.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
56,60.0 to 60.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",8,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7
57,61.0 to 61.75,19,"[1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",5,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1
58,62.0 to 62.75,8,"[3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
59,63.0 to 63.875,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",8,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7
60,64.0 to 64.75,8,"[2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0]",0,g#Major,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
61,65.0 to 65.75,8,"[2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0]",0,g#Major,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
62,66.0 to 66.75,8,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
63,67.0 to 67.75,8,"[2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0]",0,g#Major,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
