index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
115,345.0 to 347.5,"[2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",6,dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
116,348.0 to 350.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,e-Major,Piano Sonata K570 i Bb major.mid by Mozart.csv
117,351.0 to 353.75,"[2, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 0]",8,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
118,354.0 to 356.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",5,fMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
119,357.0 to 359.875,"[0, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0]",3,b-Major,Piano Sonata K570 i Bb major.mid by Mozart.csv
120,360.0 to 362.5,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",2,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
121,363.0 to 365.5,"[0, 2, 2, 0, 2, 2, 0, 2, 0, 2, 0, 0]",3,aMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
122,366.0 to 368.5,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
123,369.0 to 371.75,"[2, 0, 1, 0, 1, 0, 1, 1, 0, 3, 0, 1]",6,cMinor,Piano Sonata K570 i Bb major.mid by Mozart.csv
124,372.0 to 374.5,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
125,375.0 to 377.5,"[3, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 0]",7,g#Major,Piano Sonata K570 i Bb major.mid by Mozart.csv
126,378.0 to 380.5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
127,381.0 to 383.625,"[3, 0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0]",7,g#Major,Piano Sonata K570 i Bb major.mid by Mozart.csv
128,384.0 to 386.5,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
129,387.0 to 389.5,"[1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 2]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
130,390.0 to 392.875,"[0, 0, 1, 0, 1, 2, 0, 2, 0, 1, 0, 1]",3,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
131,393.0 to 395.5,"[0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
132,396.0 to 398.6666667,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",9,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
133,399.0 to 401.875,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",2,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
134,402.0 to 404.5,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
135,405.0 to 407.5,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",9,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
136,408.0 to 410.5,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
137,411.0 to 413.5,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
138,414.0 to 416.5,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1]",9,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
139,417.0 to 419.5,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",2,cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
140,420.0 to 422.5,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
141,423.0 to 425.5,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv
