index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
197,597.0 to 599.875,"[0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 2, 0]",8,b-Major,Piano Sonata K332 i F major.mid by Mozart.csv
198,600.0 to 602.875,"[0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 1, 0]",8,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
199,603.0 to 605.875,"[1, 0, 2, 0, 0, 1, 0, 1, 3, 0, 0, 0]",3,g#Minor,Piano Sonata K332 i F major.mid by Mozart.csv
200,606.0 to 608.875,"[1, 0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
201,609.0 to 611.875,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",5,g#Major,Piano Sonata K332 i F major.mid by Mozart.csv
202,612.0 to 614.5,"[1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
203,615.0 to 617.5,"[1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
204,618.0 to 620.5,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
205,621.0 to 623.5,"[0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1]",3,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
206,624.0 to 626.875,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
207,627.0 to 629.875,"[2, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]",2,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
208,630.0 to 632.0,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
209,633.0 to 635.0,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",3,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
210,636.0 to 638.0,"[1, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
211,639.0 to 641.5,"[3, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
212,642.0 to 644.0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
213,645.0 to 647.875,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",2,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
214,648.0 to 650.0,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
215,651.0 to 653.0,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
216,654.0 to 656.0,"[1, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
217,657.0 to 659.5,"[1, 0, 1, 0, 3, 1, 0, 1, 1, 1, 0, 0]",4,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
218,660.0 to 662.5,"[1, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
219,663.0 to 665.75,"[1, 0, 1, 0, 3, 1, 0, 1, 2, 2, 0, 0]",4,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
220,666.0 to 668.75,"[1, 0, 2, 0, 1, 3, 0, 3, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
221,669.0 to 671.875,"[4, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
222,672.0 to 674.875,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
223,675.0 to 677.875,"[3, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
224,678.0 to 680.875,"[3, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
225,681.0 to 683.5,"[3, 0, 0, 0, 3, 0, 0, 1, 3, 0, 0, 0]",4,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
226,684.0 to 686.5,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0]",4,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
227,687.0 to 689.0,"[0, 0, 2, 0, 2, 2, 0, 3, 0, 0, 0, 1]",9,gMinor,Piano Sonata K332 i F major.mid by Mozart.csv
228,690.0 to 691.0,"[4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
