index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
60,240.0 to 243.75,"[3, 0, 1, 1, 2, 1, 0, 2, 0, 2, 2, 1]",5,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
61,244.0 to 247.75,"[2, 0, 3, 0, 2, 2, 0, 3, 0, 2, 2, 1]",8,b-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
62,248.0 to 251.75,"[2, 0, 2, 0, 1, 3, 0, 2, 1, 2, 2, 0]",8,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
63,252.0 to 255.75,"[1, 1, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1]",7,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
64,256.0 to 259.75,"[2, 0, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1]",2,e-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
65,260.0 to 263.75,"[1, 0, 2, 2, 0, 2, 1, 2, 0, 0, 0, 2]",2,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
66,264.0 to 267.0,"[1, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 2]",7,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
67,268.0 to 271.75,"[3, 0, 1, 0, 2, 0, 0, 3, 0, 0, 0, 1]",1,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
68,272.0 to 275.75,"[2, 0, 1, 0, 2, 2, 1, 2, 0, 2, 0, 1]",7,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
69,276.0 to 279.5,"[2, 0, 1, 0, 3, 1, 0, 3, 0, 1, 0, 1]",1,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
70,280.0 to 283.5,"[2, 1, 2, 0, 3, 3, 0, 2, 1, 1, 0, 1]",4,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
71,284.0 to 287.75,"[2, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 1]",7,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
72,288.0 to 291.75,"[2, 0, 1, 0, 2, 1, 0, 2, 0, 2, 0, 1]",7,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
73,292.0 to 295.75,"[2, 1, 1, 1, 2, 1, 0, 2, 0, 2, 0, 2]",3,gMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
74,296.0 to 299.0,"[1, 1, 1, 0, 1, 2, 0, 1, 2, 2, 0, 1]",0,c#Major,Piano Sonata K570 ii Eb major.mid by Mozart.csv
75,300.0 to 303.75,"[2, 0, 3, 0, 1, 2, 2, 2, 0, 2, 0, 2]",7,fMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
76,304.0 to 307.75,"[3, 0, 3, 0, 2, 3, 0, 3, 0, 2, 0, 2]",8,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
77,308.0 to 311.75,"[3, 0, 2, 0, 2, 2, 0, 3, 0, 0, 0, 2]",1,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
78,312.0 to 314.0,"[2, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
