index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
37,74.0 to 75.75,"[2, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0]",5,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
38,76.0 to 77.75,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 2]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
39,78.0 to 79.75,"[3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
40,80.0 to 81.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 2]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
41,82.0 to 83.75,"[1, 0, 2, 0, 1, 0, 2, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
42,84.0 to 85.875,"[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
43,86.0 to 87.5,"[2, 1, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
44,88.0 to 89.75,"[1, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
45,90.0 to 91.75,"[0, 0, 1, 0, 1, 0, 1, 3, 0, 1, 0, 1]",8,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
46,92.0 to 93.5,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",5,gMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
47,94.0 to 95.75,"[2, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1]",6,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
48,96.0 to 97.75,"[0, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0, 1]",8,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
49,98.0 to 99.75,"[0, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1]",8,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
50,100.0 to 101.5,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",5,gMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
51,102.0 to 103.75,"[2, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1]",6,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
52,104.0 to 105.75,"[0, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0, 1]",8,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
53,106.0 to 107.75,"[1, 0, 3, 0, 0, 0, 1, 2, 0, 2, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
54,108.0 to 109.75,"[2, 0, 2, 0, 0, 0, 1, 3, 0, 2, 0, 2]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
55,110.0 to 111.5,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
56,112.0 to 113.625,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
57,114.0 to 115.625,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
58,116.0 to 117.875,"[2, 0, 1, 0, 1, 2, 1, 1, 0, 1, 0, 0]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
59,118.0 to 119.75,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
