index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
79,316.0 to 319.875,"[2, 0, 2, 0, 2, 0, 1, 2, 0, 2, 0, 2]",1,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
80,320.0 to 323.875,"[2, 0, 2, 0, 1, 2, 0, 4, 0, 2, 0, 2]",3,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
81,324.0 to 327.5,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",8,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
82,328.0 to 331.5,"[2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",8,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
83,332.0 to 335.5,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 0, 1]",9,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
84,336.0 to 339.25,"[2, 0, 2, 0, 1, 0, 0, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
85,340.0 to 343.875,"[3, 1, 3, 0, 2, 1, 0, 1, 0, 1, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
86,344.0 to 347.875,"[3, 0, 3, 1, 3, 2, 0, 2, 0, 2, 0, 1]",9,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
87,348.0 to 351.875,"[3, 0, 1, 0, 3, 2, 0, 2, 0, 2, 1, 2]",9,cMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
88,352.0 to 355.875,"[3, 1, 2, 0, 3, 3, 0, 2, 0, 1, 0, 2]",9,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
89,356.0 to 359.875,"[2, 0, 2, 0, 2, 3, 0, 3, 0, 2, 0, 1]",9,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
90,360.0 to 363.875,"[3, 0, 2, 0, 2, 2, 0, 2, 0, 2, 0, 1]",9,fMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
91,364.0 to 367.875,"[3, 0, 2, 0, 2, 2, 0, 3, 0, 1, 0, 2]",9,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
92,368.0 to 371.875,"[3, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2]",2,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
93,372.0 to 375.0,"[3, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2]",2,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
94,376.0 to 376.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
