index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
142,286.0 to 287.75,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
143,288.0 to 289.75,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
144,290.0 to 291.75,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
145,292.0 to 293.5,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
146,294.0 to 295.875,"[1, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
147,296.0 to 297.875,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
148,298.0 to 299.875,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1]",1,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
149,300.0 to 301.875,"[1, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
150,302.0 to 303.0,"[1, 0, 0, 0, 0, 0, 2, 3, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
151,304.0 to 305.5,"[0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 2]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
152,306.0 to 307.0,"[0, 0, 2, 0, 2, 1, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
153,308.0 to 309.5,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
154,310.0 to 311.0,"[2, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 2]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
155,312.0 to 313.75,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1]",4,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
156,314.0 to 315.0,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
