index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
37,114.0 to 116.875,"[2, 0, 2, 0, 3, 1, 0, 2, 0, 1, 0, 0]",9,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
38,117.0 to 119.75,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
39,120.0 to 122.5,"[2, 0, 2, 1, 3, 2, 1, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
40,123.0 to 125.75,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
41,126.0 to 128.5,"[1, 1, 2, 0, 2, 2, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
42,129.0 to 131.875,"[2, 0, 2, 0, 2, 0, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
43,132.0 to 134.875,"[2, 0, 1, 0, 2, 3, 0, 2, 0, 1, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
44,135.0 to 137.875,"[2, 0, 1, 0, 2, 1, 0, 2, 0, 2, 1, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
45,138.0 to 140.625,"[2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 0, 1]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
46,141.0 to 143.875,"[3, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0]",4,cMinor,Piano Sonata K284 ii A major.mid by Mozart.csv
47,144.0 to 146.875,"[1, 0, 2, 0, 2, 1, 0, 0, 1, 1, 0, 1]",0,eMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
48,147.0 to 149.875,"[0, 1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 1]",0,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
49,150.0 to 152.75,"[0, 1, 2, 0, 1, 0, 2, 1, 0, 2, 1, 0]",6,dMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
50,153.0 to 155.75,"[1, 0, 1, 2, 0, 1, 1, 0, 0, 2, 0, 0]",6,dMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
51,156.0 to 158.75,"[1, 0, 0, 2, 3, 1, 0, 0, 1, 1, 0, 0]",4,cMinor,Piano Sonata K284 ii A major.mid by Mozart.csv
52,159.0 to 161.95833330000005,"[1, 0, 0, 1, 1, 2, 0, 1, 0, 1, 1, 0]",6,fMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
53,162.0 to 164.83333330000005,"[2, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 0]",7,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
54,165.0 to 167.875,"[2, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",6,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
55,168.0 to 170.75,"[2, 0, 2, 0, 1, 1, 1, 2, 0, 2, 1, 0]",6,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
56,171.0 to 173.95833330000005,"[2, 0, 0, 0, 0, 2, 0, 2, 0, 3, 1, 0]",7,fMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
57,174.0 to 176.875,"[1, 1, 2, 0, 1, 2, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
58,177.0 to 179.66666669999995,"[2, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
59,180.0 to 182.5,"[2, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
60,183.0 to 185.75,"[2, 0, 2, 0, 3, 2, 0, 3, 0, 1, 0, 1]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
61,186.0 to 188.75,"[2, 0, 2, 0, 2, 2, 1, 3, 0, 1, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
62,189.0 to 191.875,"[2, 1, 2, 0, 3, 2, 0, 3, 0, 1, 0, 2]",8,gMinor,Piano Sonata K284 ii A major.mid by Mozart.csv
63,192.0 to 194.75,"[2, 0, 2, 0, 2, 2, 1, 3, 0, 1, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
64,195.0 to 197.75,"[2, 1, 1, 0, 3, 3, 0, 3, 0, 1, 0, 2]",8,gMinor,Piano Sonata K284 ii A major.mid by Mozart.csv
65,198.0 to 200.75,"[2, 0, 1, 0, 1, 0, 2, 2, 0, 2, 0, 2]",1,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
66,202.0 to 203.75,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 2, 0, 1]",6,dMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
67,205.0 to 206.75,"[3, 0, 0, 2, 0, 0, 2, 2, 2, 0, 2, 0]",5,g#Major,Piano Sonata K284 ii A major.mid by Mozart.csv
68,208.0 to 209.0,"[1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1]",5,e-Minor,Piano Sonata K284 ii A major.mid by Mozart.csv
69,211.0 to 212.875,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
70,213.0 to 215.875,"[2, 0, 2, 1, 1, 2, 1, 2, 0, 1, 0, 1]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
71,216.0 to 218.875,"[1, 0, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
72,219.0 to 221.75,"[3, 1, 1, 0, 2, 2, 0, 3, 0, 0, 0, 1]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
73,222.0 to 224.875,"[2, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
74,225.0 to 227.875,"[2, 0, 1, 1, 2, 1, 0, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
75,228.0 to 230.875,"[1, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
76,231.0 to 233.875,"[3, 0, 3, 0, 4, 1, 1, 4, 0, 1, 0, 0]",9,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
77,234.0 to 236.875,"[3, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 0]",9,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
78,237.0 to 239.875,"[2, 0, 2, 0, 1, 1, 0, 3, 0, 0, 0, 2]",8,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
79,240.0 to 242.875,"[1, 0, 1, 0, 2, 1, 0, 3, 0, 0, 0, 3]",8,gMinor,Piano Sonata K284 ii A major.mid by Mozart.csv
80,243.0 to 245.875,"[3, 0, 2, 0, 2, 1, 0, 1, 0, 0, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
81,246.0 to 248.75,"[2, 0, 1, 0, 2, 1, 2, 4, 0, 0, 0, 3]",8,gMinor,Piano Sonata K284 ii A major.mid by Mozart.csv
82,249.0 to 251.75,"[2, 0, 4, 2, 2, 2, 2, 2, 0, 0, 0, 2]",3,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
83,252.0 to 254.875,"[2, 0, 2, 0, 3, 2, 0, 3, 1, 2, 1, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
84,255.0 to 257.625,"[2, 0, 2, 0, 2, 2, 0, 2, 1, 2, 0, 1]",8,fMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
85,258.0 to 260.8333333,"[2, 1, 1, 0, 1, 2, 0, 2, 0, 3, 1, 1]",7,fMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
86,261.0 to 263.6666667,"[2, 0, 2, 0, 2, 2, 0, 2, 1, 0, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
87,264.0 to 266.75,"[2, 1, 1, 0, 1, 2, 0, 2, 0, 3, 1, 0]",7,fMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
88,267.0 to 268.75,"[1, 1, 2, 0, 2, 2, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
89,271.0 to 272.75,"[3, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1]",4,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
90,273.0 to 275.75,"[1, 0, 1, 0, 1, 3, 0, 3, 0, 1, 0, 2]",8,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
91,276.0 to 278.75,"[3, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 1]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
92,279.0 to 279.5,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
