index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 1.5,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
1,2.0 to 3.5,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 2]",1,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
2,4.0 to 5.916666667,"[1, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
3,6.0 to 7.666666667,"[1, 0, 2, 0, 1, 2, 0, 3, 0, 1, 0, 1]",5,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
4,8.25 to 9.666666667000001,"[2, 0, 1, 0, 1, 2, 0, 1, 0, 2, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
5,10.25 to 11.875,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
6,12.0 to 13.75,"[1, 1, 1, 0, 1, 2, 0, 1, 0, 2, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
7,14.0 to 15.5,"[3, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 1]",2,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
8,16.0 to 17.625,"[2, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
9,18.125 to 19.75,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
10,20.125 to 21.83333333,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",3,aMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
11,22.0 to 23.875,"[1, 0, 2, 0, 1, 1, 0, 3, 0, 1, 0, 1]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
12,24.33333333 to 25.875,"[2, 0, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
13,26.33333333 to 27.875,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
14,28.0 to 29.75,"[1, 1, 1, 0, 1, 3, 0, 1, 0, 2, 0, 1]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
15,30.0 to 31.95833333,"[3, 0, 1, 0, 2, 0, 1, 2, 0, 0, 0, 0]",2,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
16,32.0 to 33.875,"[1, 0, 2, 0, 1, 0, 2, 2, 0, 2, 0, 1]",9,dMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
17,34.0 to 35.875,"[1, 0, 3, 0, 2, 0, 1, 1, 0, 0, 0, 3]",9,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
