index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
37,111.0 to 113.6666667,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
38,114.0 to 116.6666667,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
39,117.0 to 119.6666667,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2]",6,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
40,120.0 to 122.6666667,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
41,123.0 to 125.6666667,"[1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 0, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
42,126.0 to 128.875,"[2, 1, 2, 0, 2, 1, 0, 1, 0, 1, 0, 1]",4,cMinor,Piano Sonata K279 ii F major.mid by Mozart.csv
43,129.0 to 131.9166667,"[2, 0, 2, 1, 2, 0, 1, 2, 0, 1, 0, 2]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
44,132.0 to 134.66666669999998,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
45,135.0 to 137.75,"[1, 2, 2, 1, 1, 0, 3, 1, 0, 1, 1, 1]",8,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
46,138.0 to 140.75,"[1, 0, 1, 2, 3, 0, 0, 3, 0, 1, 0, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
47,141.0 to 143.75,"[2, 0, 2, 0, 1, 0, 1, 1, 0, 2, 0, 2]",8,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
48,144.0 to 146.75,"[1, 0, 1, 0, 0, 0, 2, 3, 2, 3, 2, 3]",0,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
49,147.0 to 149.66666669999995,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
