,year,TotalCount,countInCluster,prob(%)
0,1774,1871,67,3.580972741849278
1,1775,1642,62,3.7758830694275276
2,1777,1758,64,3.6405005688282137
3,1783,2905,121,4.1652323580034425
4,1788,267,11,4.119850187265917
5,1789,800,18,2.25
