,year,TotalCount,countInCluster,prob(%)
0,1774,1871,93,4.970603955104223
1,1775,1642,76,4.6285018270401945
2,1777,1758,47,2.6734926052332195
3,1783,2905,151,5.197934595524957
4,1788,267,17,6.367041198501873
5,1789,800,30,3.75
