,year,TotalCount,countInCluster,prob(%)
0,1774,1871,84,4.489577765900588
1,1775,1642,44,2.679658952496955
2,1777,1758,53,3.0147895335608648
3,1783,2905,109,3.7521514629948363
4,1788,267,14,5.2434456928838955
5,1789,800,36,4.5
