,year,TotalCount,countInCluster,prob(%)
0,1774,1871,91,4.863709246392304
1,1775,1642,91,5.542021924482339
2,1777,1758,89,5.062571103526735
3,1783,2905,158,5.438898450946644
4,1788,267,23,8.614232209737828
5,1789,800,46,5.75
