,year,TotalCount,countInCluster,prob(%)
0,1774,1871,152,8.123997862105824
1,1775,1642,136,8.28258221680877
2,1777,1758,149,8.475540386803186
3,1783,2905,248,8.537005163511187
4,1788,267,21,7.865168539325842
5,1789,800,44,5.5
