,year,TotalCount,countInCluster,prob(%)
0,1774,1871,33,1.7637626937466595
1,1775,1642,59,3.5931790499390983
2,1777,1758,58,3.299203640500569
3,1783,2905,86,2.960413080895009
4,1788,267,11,4.119850187265917
5,1789,800,35,4.375
