index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
10,12.0 to 12.5,14,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19,1
11,13.0 to 13.5,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
12,14.0 to 14.75,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2,1
13,15.0 to 15.75,13,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
14,16.0 to 16.875,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7,1
15,17.0 to 17.75,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7,1
16,18.0 to 18.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
17,19.0 to 19.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
18,20.0 to 20.75,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
19,21.0 to 21.33333333,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4,1
20,22.0 to 22.33333333,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
21,23.0 to 23.33333333,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17,1
22,24.0 to 24.75,13,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
23,25.0 to 25.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6,1
24,26.0 to 26.75,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3,1
25,27.0 to 27.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10,1
26,28.0 to 28.75,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5,1
27,29.0 to 29.75,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4,1
28,30.0 to 30.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2,1
29,31.0 to 31.0,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10,1
30,32.0 to 32.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
31,33.0 to 33.75,13,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
