index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
0,0.0 to 0.916666667,4,"[1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
1,1.0 to 1.875,3,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0]",dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,1
2,2.0 to 2.666666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
3,3.0 to 3.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,1
4,4.0 to 4.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,1
5,5.0 to 5.875,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
6,6.0 to 6.666666667,2,"[0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,1
7,7.0 to 7.666666667,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,1
8,8.0 to 8.666666667000001,5,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,1
9,9.0 to 9.75,19,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,1
