index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
23,24.0 to 24.875,"[2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
24,25.25 to 25.75,"[1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
25,26.0 to 26.5,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",7,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
26,27.0 to 27.75,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
27,28.08333333 to 28.95833333,"[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]",8,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
28,29.0 to 29.75,"[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",8,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
29,30.25 to 30.66666667,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",8,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
30,31.0 to 31.875,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
31,32.0 to 32.66666667,"[3, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
32,33.0 to 33.875,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
33,34.25 to 34.70833333,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
34,35.0 to 35.875,"[1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
35,36.25 to 36.91666667,"[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
36,37.0 to 37.91666667,"[2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
37,38.125 to 38.875,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1]",7,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
38,39.125 to 39.875,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
39,40.75 to 40.75,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
40,41.0 to 41.875,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0]",1,fMinor,Piano Sonata K330 i C major.mid by Mozart.csv
41,42.0 to 42.875,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
42,43.25 to 43.66666667,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
43,44.0 to 44.875,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
44,45.0 to 45.91666667,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",1,fMinor,Piano Sonata K330 i C major.mid by Mozart.csv
45,46.125 to 46.58333333,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
46,47.0 to 47.75,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]",3,gMinor,Piano Sonata K330 i C major.mid by Mozart.csv
47,48.0 to 48.75,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
48,49.0 to 49.75,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
49,50.0 to 50.95833333,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",7,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
50,51.125 to 51.625,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
51,52.0 to 52.875,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]",4,b-Major,Piano Sonata K330 i C major.mid by Mozart.csv
52,53.25 to 53.875,"[0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0]",1,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
53,54.0 to 54.875,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
54,55.0 to 55.75,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",7,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
55,56.0 to 56.75,"[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",8,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
56,57.0 to 57.5,"[0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
57,58.75 to 58.875,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
58,59.20833333 to 59.75,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
59,60.125 to 60.5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
60,61.0 to 61.875,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
61,62.0 to 62.66666667,"[1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",2,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
62,63.125 to 63.75,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
63,64.0 to 64.875,"[1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
64,65.0 to 65.79166667,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
65,66.125 to 66.875,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
66,67.0 to 67.875,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0]",9,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
67,68.25 to 68.70833333,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
68,69.0 to 69.875,"[1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 0]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
69,70.0 to 70.75,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
70,71.125 to 71.91666667,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
71,72.125 to 72.75,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
72,73.0 to 73.75,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
73,74.25 to 74.75,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
74,75.125 to 75.875,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
75,76.0 to 76.875,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
76,77.0 to 77.75,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
77,78.0 to 78.875,"[1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
78,79.0 to 79.75,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
79,80.25 to 80.875,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
80,81.0 to 81.875,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1]",9,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
81,82.0 to 82.75,"[2, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 1]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
82,83.0 to 83.95833333,"[1, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
83,84.0 to 84.875,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1]",9,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
84,85.125 to 85.875,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
85,86.0 to 86.83333333,"[2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
