index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
37,41.0 to 41.75,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
38,42.0 to 42.75,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
39,43.0 to 43.875,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
40,44.0 to 44.75,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
41,45.0 to 45.875,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
42,46.0 to 46.875,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
43,47.0 to 47.875,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
44,48.0 to 48.875,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",7,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
45,49.0 to 49.875,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
46,50.0 to 50.875,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
47,51.0 to 51.875,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
48,52.0 to 52.75,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2]",4,gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
49,53.0 to 53.875,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",8,dMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
50,54.0 to 54.875,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
51,55.0 to 55.875,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
52,56.0 to 56.875,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",8,eMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
53,57.0 to 57.875,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
54,58.0 to 58.75,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
55,59.0 to 59.875,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
56,60.0 to 60.75,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
57,61.0 to 61.75,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
58,62.0 to 62.875,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
