index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
371,412.25 to 412.875,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
372,413.0 to 413.875,"[1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
373,414.2083333 to 414.875,"[0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
374,415.0 to 415.875,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
375,416.25 to 416.75,"[0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
376,417.0 to 417.625,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
377,418.25 to 418.625,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
378,419.125 to 419.625,"[1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
379,420.1666667 to 420.625,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
380,421.5 to 421.6666667,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
381,422.1666667 to 422.625,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
382,423.0 to 423.625,"[1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
383,424.0 to 424.625,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
384,425.125 to 425.875,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
385,426.875 to 426.875,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",2,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
386,427.0 to 427.0,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",2,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
387,428.125 to 428.625,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
388,429.0 to 429.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
389,431.5 to 431.5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,dMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
390,432.5 to 432.625,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
391,433.33333330000005 to 433.5,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",2,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
