index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
410,416.0 to 416.875,"[3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
411,417.0 to 417.875,"[2, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 2]",7,eMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
412,418.0 to 418.875,"[2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2]",9,fMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
413,419.0 to 419.875,"[0, 2, 1, 0, 2, 2, 0, 2, 0, 2, 0, 0]",4,aMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
414,420.0 to 420.875,"[1, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 2]",3,eMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
415,421.0 to 421.875,"[2, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 2]",0,dMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
416,422.0 to 422.0,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
417,423.0 to 423.6666667,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",5,fMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
418,424.0 to 424.5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
419,425.0 to 425.75,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",5,fMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
420,426.0 to 426.5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
421,427.0 to 427.75,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",7,eMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
422,428.0 to 428.5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
423,429.0 to 429.75,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
424,430.0 to 430.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
425,431.0 to 431.5,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
426,432.0 to 432.5,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",5,c#Major,Piano Sonata K309 iii C major.mid by Mozart.csv
