index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
36,36.0 to 36.375,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
37,37.0 to 37.75,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
38,38.0 to 38.75,"[1, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1]",2,fMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
39,39.0 to 39.875,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
40,40.0 to 40.875,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
41,41.0 to 41.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
42,42.0 to 42.5,"[0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
43,43.0 to 43.5,"[0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
44,44.0 to 44.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,fMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
45,45.0 to 45.5,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
46,46.0 to 46.5,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
47,47.0 to 47.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
48,48.0 to 48.5,"[0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0]",0,c#Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
49,49.0 to 49.5,"[0, 0, 1, 0, 1, 3, 0, 1, 0, 0, 0, 0]",0,b-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
50,50.0 to 50.5,"[0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0]",0,fMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
51,51.0 to 51.5,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",4,gMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
52,52.0 to 52.5,"[2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
53,53.0 to 53.875,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
54,54.0 to 54.5,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
55,55.0 to 55.75,"[1, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 1]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
56,56.0 to 56.5,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
57,57.0 to 57.5,"[0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 1]",8,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
58,58.0 to 58.75,"[1, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 2]",1,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
59,59.0 to 59.875,"[0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 1]",8,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
60,60.0 to 60.5,"[1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
61,61.0 to 61.75,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1]",2,cMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
62,62.0 to 62.75,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1]",2,cMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
63,63.0 to 63.875,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
64,64.0 to 64.875,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
65,66.0 to 66.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
66,67.0 to 67.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
67,68.0 to 68.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
68,69.0 to 69.75,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]",8,b-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
69,70.0 to 70.75,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
70,71.0 to 71.75,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
71,72.0 to 72.5,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",9,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
