,year,TotalCount,countInCluster,prob(%)
0,1774,1871,37,1.977552111170497
1,1775,1642,66,4.019488428745433
2,1777,1758,39,2.218430034129693
3,1783,2905,93,3.201376936316695
4,1788,267,11,4.119850187265917
5,1789,800,6,0.75
