,year,TotalCount,countInCluster,prob(%)
0,1774,1871,105,5.611972207375735
1,1775,1642,97,5.907429963459196
2,1777,1758,83,4.721274175199089
3,1783,2905,133,4.578313253012048
4,1788,267,15,5.617977528089887
5,1789,800,26,3.25
