,year,TotalCount,countInCluster,prob(%)
0,1774,1871,107,5.718866916087654
1,1775,1642,75,4.5676004872107185
2,1777,1758,102,5.802047781569966
3,1783,2905,210,7.228915662650602
4,1788,267,8,2.9962546816479403
5,1789,800,93,11.625
