,year,TotalCount,countInCluster,prob(%)
0,1774,1871,128,6.8412613575628
1,1775,1642,73,4.445797807551767
2,1777,1758,112,6.370875995449373
3,1783,2905,150,5.163511187607573
4,1788,267,21,7.865168539325842
5,1789,800,48,6.0
