,year,TotalCount,countInCluster,prob(%)
0,1774,1871,67,3.580972741849278
1,1775,1642,52,3.1668696711327646
2,1777,1758,58,3.299203640500569
3,1783,2905,80,2.753872633390706
4,1788,267,18,6.741573033707865
5,1789,800,30,3.75
