index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
46,188.0 to 191.5,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0]",0,f#Major,Piano Sonata K284 i D major.mid by Mozart.csv
47,192.0 to 195.75,"[0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
48,196.0 to 199.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
49,200.0 to 203.875,"[2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2]",9,gMinor,Piano Sonata K284 i D major.mid by Mozart.csv
50,204.0 to 206.125,"[1, 0, 4, 0, 0, 0, 1, 4, 0, 1, 0, 1]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
51,208.0 to 211.75,"[4, 0, 2, 0, 2, 2, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
52,212.0 to 215.5,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 2, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
53,216.0 to 219.875,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
54,220.0 to 223.625,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
55,224.0 to 227.625,"[1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
56,228.0 to 231.625,"[1, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
57,232.0 to 235.75,"[1, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
58,236.0 to 239.75,"[2, 0, 3, 0, 2, 2, 2, 2, 0, 2, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
59,240.0 to 243.5,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
60,244.0 to 247.5,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
61,248.0 to 251.5,"[3, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
62,252.0 to 255.75,"[2, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
