index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
36,108.0 to 110.875,"[2, 1, 1, 0, 1, 0, 1, 2, 1, 1, 0, 2]",2,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
37,111.0 to 113.875,"[2, 1, 1, 1, 0, 1, 1, 2, 1, 1, 2, 0]",0,e-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
38,114.0 to 116.625,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",5,e-Minor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
39,117.0 to 119.75,"[2, 0, 2, 2, 0, 1, 0, 2, 1, 0, 2, 0]",0,e-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
40,120.0 to 122.625,"[1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 2, 1]",6,b-Minor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
41,123.0 to 125.875,"[3, 0, 1, 0, 1, 0, 1, 3, 0, 2, 0, 2]",2,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
42,126.0 to 128.75,"[1, 0, 2, 0, 1, 0, 2, 2, 0, 2, 0, 2]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
43,129.0 to 131.875,"[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, 1, 2]",2,gMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
44,132.0 to 134.875,"[2, 0, 3, 1, 1, 0, 2, 2, 0, 2, 0, 2]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
45,135.0 to 136.0,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",5,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
46,138.0 to 140.0,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
47,141.0 to 143.875,"[2, 0, 1, 3, 1, 0, 1, 1, 0, 2, 0, 2]",8,e-Minor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
48,144.0 to 146.0,"[0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
49,147.0 to 149.875,"[1, 1, 1, 0, 1, 2, 1, 2, 1, 2, 0, 3]",7,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
50,150.0 to 152.0,"[2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
51,153.0 to 155.875,"[1, 1, 1, 0, 1, 2, 1, 2, 1, 2, 0, 3]",7,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
52,156.0 to 158.0,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]",1,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
53,159.0 to 161.875,"[1, 0, 2, 1, 2, 2, 0, 1, 2, 1, 1, 2]",7,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
54,162.0 to 164.875,"[2, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1]",2,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
55,165.0 to 167.625,"[1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
56,168.0 to 170.875,"[1, 0, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1]",2,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
57,171.0 to 173.875,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 3, 2, 1]",6,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
58,174.0 to 176.0,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2]",5,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
59,177.0 to 179.5,"[0, 1, 0, 0, 2, 0, 3, 2, 0, 4, 0, 0]",6,aMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
60,180.0 to 182.5,"[0, 0, 1, 0, 0, 0, 2, 0, 3, 2, 0, 4]",8,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
61,183.0 to 185.5,"[4, 0, 0, 0, 1, 0, 1, 0, 2, 2, 0, 2]",8,cMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
62,186.0 to 188.5,"[1, 1, 1, 0, 1, 2, 0, 1, 1, 0, 1, 2]",7,c#Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
63,189.0 to 191.5,"[1, 1, 1, 1, 2, 1, 1, 3, 0, 2, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
64,192.0 to 194.5,"[0, 1, 2, 0, 1, 2, 0, 1, 0, 2, 1, 0]",4,fMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
65,195.0 to 197.5,"[1, 0, 0, 1, 2, 1, 1, 2, 0, 1, 2, 0]",3,e-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
66,198.0 to 200.5,"[2, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1]",6,fMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
67,201.0 to 203.5,"[1, 1, 2, 0, 1, 0, 0, 1, 2, 1, 1, 2]",2,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
68,204.0 to 206.5,"[2, 0, 1, 0, 2, 1, 0, 0, 1, 2, 0, 1]",1,cMinor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
69,207.0 to 209.5,"[2, 1, 2, 0, 2, 2, 0, 0, 1, 0, 1, 2]",1,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
70,210.0 to 212.875,"[0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 3]",7,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
