index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
37,148.0 to 151.875,"[3, 0, 3, 0, 1, 0, 2, 2, 0, 2, 0, 1]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
38,152.0 to 155.75,"[1, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
39,156.0 to 159.75,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
40,160.0 to 163.75,"[1, 1, 2, 0, 0, 0, 1, 2, 0, 2, 1, 2]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
41,164.0 to 167.75,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
42,168.0 to 171.75,"[1, 1, 2, 0, 0, 0, 1, 2, 0, 2, 1, 2]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
43,172.0 to 175.5,"[1, 1, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1]",0,dMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
44,176.0 to 179.5,"[2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2]",0,eMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
45,180.0 to 183.0,"[3, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 2]",5,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
46,184.0 to 187.5,"[0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1]",0,gMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
47,188.0 to 191.5,"[1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 1]",6,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
48,192.0 to 195.5,"[1, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
49,196.0 to 199.5,"[1, 1, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2]",1,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
50,200.0 to 203.75,"[1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 2]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
51,204.0 to 207.75,"[2, 0, 1, 0, 2, 2, 2, 3, 0, 3, 0, 2]",1,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
52,208.0 to 211.75,"[2, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 3]",1,gMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
53,212.0 to 215.5,"[2, 0, 3, 0, 0, 0, 1, 3, 0, 2, 0, 2]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
54,216.0 to 219.75,"[1, 0, 1, 0, 1, 1, 1, 3, 0, 1, 0, 2]",1,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
55,220.0 to 223.75,"[2, 0, 1, 0, 2, 1, 2, 3, 0, 2, 0, 2]",1,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
56,224.0 to 227.75,"[3, 0, 1, 0, 2, 0, 2, 2, 0, 1, 0, 3]",1,gMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
57,228.0 to 231.75,"[0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
58,232.0 to 235.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
59,236.0 to 239.5,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 0, 1]",1,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
60,240.0 to 243.75,"[2, 0, 3, 1, 3, 0, 2, 2, 0, 1, 1, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
61,244.0 to 247.5,"[0, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 1]",1,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
62,248.0 to 251.5,"[3, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 1]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
63,252.0 to 255.75,"[2, 0, 2, 0, 1, 0, 0, 3, 0, 1, 0, 2]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
64,256.0 to 259.5,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 2, 0, 2]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
65,260.0 to 263.75,"[3, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0, 1]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
66,264.0 to 267.5,"[2, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 1]",5,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
67,268.0 to 271.5,"[1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 2]",8,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
68,272.0 to 275.5,"[3, 0, 1, 0, 2, 0, 1, 0, 0, 2, 0, 0]",4,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
69,276.0 to 279.5,"[0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0]",7,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
70,280.0 to 283.5,"[1, 0, 3, 0, 0, 0, 1, 2, 0, 1, 0, 3]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
71,284.0 to 287.75,"[1, 0, 2, 0, 1, 0, 1, 2, 0, 1, 2, 0]",7,b-Minor,Piano Sonata K333 i Bb major.mid by Mozart.csv
72,288.0 to 291.75,"[0, 0, 2, 0, 1, 1, 0, 2, 0, 1, 2, 0]",7,b-Minor,Piano Sonata K333 i Bb major.mid by Mozart.csv
73,292.0 to 295.75,"[0, 1, 1, 0, 2, 1, 0, 2, 0, 1, 0, 0]",7,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
74,296.0 to 299.75,"[0, 2, 1, 0, 1, 0, 0, 2, 0, 2, 1, 0]",7,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
