index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 3.75,"[3, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 2]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
1,4.0 to 7.875,"[1, 0, 1, 0, 2, 3, 0, 2, 0, 2, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
2,8.0 to 11.75,"[3, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 2]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
3,12.0 to 15.875,"[1, 0, 1, 0, 2, 3, 0, 2, 0, 2, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
4,16.0 to 19.75,"[2, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 2]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
5,20.0 to 23.75,"[1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
6,24.0 to 27.75,"[2, 0, 0, 0, 1, 1, 1, 2, 1, 2, 1, 0]",8,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
7,28.0 to 31.75,"[2, 0, 0, 0, 1, 2, 1, 2, 0, 2, 0, 1]",8,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
8,32.0 to 35.75,"[2, 0, 0, 0, 3, 3, 0, 3, 0, 3, 0, 0]",4,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
9,36.0 to 39.0,"[1, 0, 2, 0, 1, 1, 0, 2, 1, 1, 0, 1]",7,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
10,40.0 to 43.75,"[2, 0, 1, 0, 3, 3, 0, 3, 0, 3, 0, 0]",4,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
11,44.0 to 47.75,"[3, 0, 1, 0, 2, 2, 0, 3, 0, 0, 1, 3]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
12,48.0 to 51.75,"[4, 0, 1, 0, 2, 2, 0, 1, 0, 1, 1, 3]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
13,52.0 to 55.875,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 1, 2]",1,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
14,56.0 to 59.875,"[2, 0, 2, 0, 3, 2, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
15,60.0 to 63.25,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
16,64.0 to 67.625,"[0, 0, 1, 0, 4, 1, 0, 0, 3, 1, 0, 4]",9,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv
17,68.0 to 71.25,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1]",3,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
18,72.0 to 75.625,"[1, 0, 4, 0, 1, 0, 3, 1, 0, 4, 0, 0]",0,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
19,76.0 to 79.75,"[1, 0, 1, 0, 1, 0, 2, 3, 0, 0, 0, 2]",5,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
20,80.0 to 83.75,"[1, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 2]",5,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
21,84.0 to 87.875,"[1, 0, 1, 0, 1, 0, 2, 1, 1, 2, 0, 2]",3,dMinor,Piano Sonata K279 i C major.mid by Mozart.csv
22,88.0 to 91.875,"[2, 1, 1, 0, 2, 0, 1, 2, 0, 1, 0, 1]",8,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
23,92.0 to 95.875,"[1, 1, 2, 0, 1, 0, 2, 1, 1, 2, 0, 1]",3,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
24,96.0 to 99.875,"[2, 0, 2, 0, 2, 0, 2, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
25,100.0 to 103.75,"[2, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
26,104.0 to 107.5,"[2, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 1]",3,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
27,108.0 to 111.5,"[2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2]",2,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv
28,112.0 to 115.875,"[2, 0, 0, 1, 1, 0, 0, 0, 2, 2, 0, 2]",3,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv
29,116.0 to 119.75,"[2, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 2]",3,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
30,120.0 to 123.75,"[0, 0, 2, 0, 0, 0, 2, 3, 0, 3, 0, 2]",5,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
31,124.0 to 127.75,"[3, 0, 3, 1, 2, 0, 1, 2, 0, 2, 0, 3]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
32,128.0 to 131.75,"[0, 0, 1, 0, 1, 0, 3, 4, 1, 2, 0, 2]",5,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
33,132.0 to 135.75,"[3, 0, 2, 1, 2, 0, 2, 3, 0, 2, 1, 2]",6,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
34,136.0 to 139.75,"[1, 1, 2, 0, 2, 0, 2, 3, 0, 2, 0, 3]",5,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
35,140.0 to 143.5,"[1, 0, 3, 0, 1, 0, 3, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
36,144.0 to 147.75,"[1, 1, 2, 0, 0, 0, 2, 3, 0, 1, 0, 1]",5,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
37,148.0 to 150.0,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]",3,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
38,152.0 to 155.75,"[3, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 2]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
39,156.0 to 159.875,"[1, 0, 1, 0, 2, 3, 0, 2, 0, 2, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
40,160.0 to 163.75,"[3, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 2]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
41,164.0 to 167.875,"[1, 0, 1, 0, 2, 3, 0, 2, 0, 2, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
42,168.0 to 171.75,"[2, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 2]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
43,172.0 to 175.75,"[1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
44,176.0 to 179.75,"[2, 0, 0, 0, 1, 1, 1, 2, 1, 2, 1, 0]",8,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
45,180.0 to 183.75,"[2, 0, 0, 0, 1, 2, 1, 2, 0, 2, 0, 1]",8,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv
46,184.0 to 187.75,"[2, 0, 0, 0, 3, 3, 0, 3, 0, 3, 0, 0]",4,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
47,188.0 to 191.0,"[1, 0, 2, 0, 1, 1, 0, 2, 1, 1, 0, 1]",7,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
48,192.0 to 195.75,"[2, 0, 1, 0, 3, 3, 0, 3, 0, 3, 0, 0]",4,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
49,196.0 to 199.75,"[3, 0, 1, 0, 2, 2, 0, 3, 0, 0, 1, 3]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
50,200.0 to 203.75,"[4, 0, 1, 0, 2, 2, 0, 1, 0, 1, 1, 3]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
51,204.0 to 207.875,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 1, 2]",1,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
52,208.0 to 211.875,"[2, 0, 2, 0, 3, 2, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
53,212.0 to 215.25,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv
54,216.0 to 219.625,"[0, 0, 1, 0, 4, 1, 0, 0, 3, 1, 0, 4]",9,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv
55,220.0 to 223.25,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1]",3,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
56,224.0 to 227.625,"[1, 0, 4, 0, 1, 0, 3, 1, 0, 4, 0, 0]",0,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv
57,228.0 to 231.75,"[1, 0, 1, 0, 1, 0, 2, 3, 0, 0, 0, 2]",5,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv
