index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
37,114.0 to 116.75,"[2, 0, 1, 1, 3, 1, 1, 0, 1, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
38,117.0 to 119.875,"[3, 0, 3, 0, 4, 0, 1, 0, 1, 3, 0, 2]",4,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
39,120.0 to 122.875,"[3, 0, 3, 0, 4, 0, 1, 0, 1, 3, 0, 2]",4,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
40,123.0 to 125.875,"[3, 0, 3, 0, 3, 0, 2, 1, 1, 4, 1, 2]",4,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
41,126.0 to 128.875,"[3, 0, 3, 1, 2, 3, 0, 2, 3, 0, 2, 0]",5,g#Minor,Piano Sonata K576 ii A major.mid by Mozart.csv
42,129.0 to 131.875,"[1, 1, 3, 1, 2, 2, 0, 2, 1, 1, 0, 2]",3,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
43,132.0 to 134.5,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
44,135.0 to 137.75,"[1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1]",9,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
45,138.0 to 140.75,"[2, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 1]",1,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
46,141.0 to 143.75,"[1, 1, 2, 1, 1, 0, 0, 2, 0, 1, 0, 1]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
47,144.0 to 146.5,"[2, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
48,147.0 to 149.75,"[2, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1]",2,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
49,150.0 to 152.75,"[1, 0, 2, 0, 2, 2, 1, 3, 0, 1, 0, 0]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
50,153.0 to 155.5,"[3, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
51,156.0 to 158.5,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 0, 2]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
52,159.0 to 161.5,"[2, 0, 2, 0, 2, 2, 1, 3, 0, 1, 0, 2]",7,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
53,162.0 to 164.875,"[2, 0, 2, 0, 2, 0, 1, 1, 0, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
54,165.0 to 167.75,"[1, 0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 2]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
55,168.0 to 170.5,"[0, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1]",1,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
56,171.0 to 173.75,"[1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0]",9,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
57,174.0 to 176.75,"[1, 0, 1, 0, 2, 2, 0, 3, 1, 2, 0, 2]",7,gMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
58,177.0 to 179.75,"[4, 0, 0, 0, 2, 1, 0, 1, 1, 1, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
59,180.0 to 182.875,"[3, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
60,183.0 to 185.875,"[2, 0, 1, 0, 2, 2, 1, 3, 0, 1, 0, 0]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
61,186.0 to 188.875,"[4, 0, 0, 0, 2, 1, 0, 1, 1, 1, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
62,189.0 to 191.75,"[3, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
63,192.0 to 194.875,"[2, 0, 1, 0, 2, 2, 1, 3, 0, 1, 0, 0]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
64,195.0 to 197.875,"[3, 1, 2, 1, 3, 2, 0, 2, 0, 2, 0, 2]",2,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
65,198.0 to 200.625,"[2, 0, 1, 0, 2, 3, 1, 3, 1, 2, 1, 3]",7,gMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
66,201.0 to 202.0,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
