index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
88,352.25 to 355.6666667,"[1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]",9,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
89,356.125 to 359.75,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",9,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
90,360.0 to 363.5,"[2, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
91,364.125 to 367.75,"[0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
92,368.3333333 to 370.625,"[1, 0, 1, 3, 0, 1, 0, 2, 0, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
93,372.5833333 to 375.5,"[0, 0, 1, 2, 0, 1, 0, 2, 1, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
94,378.0 to 378.5,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
95,383.25 to 383.3333333,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
96,384.5 to 387.875,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
97,388.4166667 to 391.125,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",3,f#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
98,392.125 to 395.9583333,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
99,396.125 to 399.8333333,"[1, 1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0]",6,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
100,400.0 to 403.375,"[1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
101,404.0 to 407.75,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
102,408.0 to 411.9166667,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
103,412.25 to 415.875,"[1, 1, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
